::ffff:184.105.247.254 - - [26/Mar/2022:00:04:03 +0000] "GET / HTTP/1.1" 302 35 "-" "-"
::ffff:49.14.156.196 - - [26/Mar/2022:02:10:51 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "http://50.19.145.241.nip.io:8000/" "Mozilla/5.0 (Linux; Android 9; Redmi 6 Pro) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.73 Mobile Safari/537.36"
::ffff:167.99.247.104 - - [26/Mar/2022:05:02:10 +0000] "GET / HTTP/1.1" 302 35 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"
::ffff:167.99.247.104 - - [26/Mar/2022:05:02:10 +0000] "GET /users/signin HTTP/1.1" 200 2817 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"
::ffff:71.6.135.131 - - [26/Mar/2022:06:39:17 +0000] "GET / HTTP/1.1" 302 70 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.36"
::ffff:71.6.135.131 - - [26/Mar/2022:06:39:17 +0000] "GET /users/signin HTTP/1.1" 200 2817 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.36"
::ffff:71.6.135.131 - - [26/Mar/2022:06:39:17 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:80.0) Gecko/20100101 Firefox/80.0"
::ffff:130.211.54.158 - - [26/Mar/2022:06:39:20 +0000] "GET / HTTP/1.1" 302 35 "-" "python-requests/2.27.1"
::ffff:162.142.125.210 - - [26/Mar/2022:07:03:22 +0000] "GET / HTTP/1.1" 302 35 "-" "-"
::ffff:162.142.125.210 - - [26/Mar/2022:07:03:22 +0000] "GET / HTTP/1.1" 302 35 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
::ffff:162.142.125.210 - - [26/Mar/2022:07:03:22 +0000] "PRI * HTTP/2.0" - - "-" "-"
::ffff:162.142.125.210 - - [26/Mar/2022:07:03:22 +0000] "GET /users/signin HTTP/1.1" 200 2817 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
::ffff:162.142.125.210 - - [26/Mar/2022:07:03:22 +0000] "PRI * HTTP/2.0" - - "-" "-"
::ffff:185.220.101.55 - - [26/Mar/2022:11:45:26 +0000] "GET / HTTP/1.1" 302 35 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
::ffff:185.220.101.55 - - [26/Mar/2022:11:45:27 +0000] "GET /users/signin HTTP/1.1" 200 2817 "http://50.19.145.241:8000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
::ffff:185.220.101.43 - - [26/Mar/2022:11:45:28 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
