::ffff:172.92.214.56 - admin [04/Apr/2022:01:02:43 +0000] "POST /editBlackAndWhiteList HTTP/1.1" 404 161 "-" "0xAbyssalDoesntExist"
::ffff:192.241.222.164 - - [04/Apr/2022:01:03:06 +0000] "GET / HTTP/1.1" 302 35 "-" "Mozilla/5.0 zgrab/0.x"
::ffff:49.42.65.29 - - [04/Apr/2022:01:53:37 +0000] "GET / HTTP/1.1" 200 218775 "android-app://com.linkedin.android/" "Mozilla/5.0 (Linux; Android 8.1.0; CPH1901) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.87 Mobile Safari/537.36"
::ffff:49.42.65.29 - - [04/Apr/2022:01:53:41 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "http://namastebuddies.in:8000/" "Mozilla/5.0 (Linux; Android 8.1.0; CPH1901) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.87 Mobile Safari/537.36"
::ffff:23.224.186.49 - - [04/Apr/2022:02:47:24 +0000] "GET / HTTP/1.1" 302 35 "-" "-"
::ffff:23.224.186.49 - - [04/Apr/2022:02:47:29 +0000] "GET /users/signin HTTP/1.1" 200 2817 "http://50.19.145.241:8000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_0) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.56 Safari/535.11"
::ffff:23.224.186.49 - - [04/Apr/2022:02:47:30 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "-" "Go-http-client/1.1"
::ffff:23.224.186.49 - - [04/Apr/2022:02:47:30 +0000] "GET /robots.txt HTTP/1.1" 404 149 "-" "Go-http-client/1.1"
::ffff:23.224.186.49 - - [04/Apr/2022:02:47:30 +0000] "GET /sitemap.xml HTTP/1.1" 404 150 "-" "Go-http-client/1.1"
::ffff:23.129.64.135 - - [04/Apr/2022:03:24:53 +0000] "GET / HTTP/1.1" 302 35 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
::ffff:23.129.64.210 - - [04/Apr/2022:03:24:54 +0000] "GET /users/signin HTTP/1.1" 200 2817 "http://50.19.145.241:8000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
::ffff:185.220.101.38 - - [04/Apr/2022:03:24:59 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
::ffff:171.67.71.80 - - [04/Apr/2022:03:35:46 +0000] "GET / HTTP/1.1" 302 35 "-" "Mozilla/5.0 zgrab/0.x"
::ffff:167.94.138.120 - - [04/Apr/2022:04:22:09 +0000] "GET / HTTP/1.1" 302 35 "-" "-"
::ffff:167.94.138.120 - - [04/Apr/2022:04:22:09 +0000] "GET / HTTP/1.1" 302 35 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
::ffff:167.94.138.120 - - [04/Apr/2022:04:22:09 +0000] "PRI * HTTP/2.0" - - "-" "-"
::ffff:167.94.138.120 - - [04/Apr/2022:04:22:09 +0000] "GET /users/signin HTTP/1.1" 200 2817 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
::ffff:167.94.138.120 - - [04/Apr/2022:04:22:10 +0000] "PRI * HTTP/2.0" - - "-" "-"
::ffff:184.105.247.194 - - [04/Apr/2022:09:06:03 +0000] "GET / HTTP/1.1" 302 35 "-" "-"
