::ffff:192.241.212.153 - - [11/Apr/2022:00:26:32 +0000] "GET / HTTP/1.1" 302 35 "-" "Mozilla/5.0 zgrab/0.x"
::ffff:65.49.20.67 - - [11/Apr/2022:01:11:18 +0000] "GET / HTTP/1.1" 302 35 "-" "-"
::ffff:171.67.71.80 - - [11/Apr/2022:03:37:45 +0000] "GET / HTTP/1.1" 302 35 "-" "Mozilla/5.0 zgrab/0.x"
::ffff:167.94.138.62 - - [11/Apr/2022:04:35:42 +0000] "GET / HTTP/1.1" 302 35 "-" "-"
::ffff:167.94.138.62 - - [11/Apr/2022:04:35:42 +0000] "GET / HTTP/1.1" 302 35 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
::ffff:167.94.138.62 - - [11/Apr/2022:04:35:42 +0000] "PRI * HTTP/2.0" - - "-" "-"
::ffff:167.94.138.62 - - [11/Apr/2022:04:35:42 +0000] "GET /users/signin HTTP/1.1" 200 2817 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
::ffff:167.94.138.62 - - [11/Apr/2022:04:35:42 +0000] "PRI * HTTP/2.0" - - "-" "-"
::ffff:47.15.21.144 - - [11/Apr/2022:05:39:30 +0000] "GET / HTTP/1.1" 302 70 "-" "Mozilla/5.0 (Linux; Android 8.1.0; CPH1909) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.93 Mobile Safari/537.36"
::ffff:47.15.21.144 - - [11/Apr/2022:05:39:31 +0000] "GET /users/signin HTTP/1.1" 200 2817 "-" "Mozilla/5.0 (Linux; Android 8.1.0; CPH1909) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.93 Mobile Safari/537.36"
::ffff:47.15.21.144 - - [11/Apr/2022:05:39:34 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "http://namastebuddies.in:8000/users/signin" "Mozilla/5.0 (Linux; Android 8.1.0; CPH1909) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.93 Mobile Safari/537.36"
::ffff:47.15.21.144 - - [11/Apr/2022:05:39:44 +0000] "GET /users/signup HTTP/1.1" 200 3355 "http://namastebuddies.in:8000/users/signin" "Mozilla/5.0 (Linux; Android 8.1.0; CPH1909) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.93 Mobile Safari/537.36"
::ffff:47.15.21.144 - - [11/Apr/2022:05:40:33 +0000] "GET /users/auth/google HTTP/1.1" 302 0 "http://namastebuddies.in:8000/users/signin" "Mozilla/5.0 (Linux; Android 8.1.0; CPH1909) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.93 Mobile Safari/537.36"
::ffff:47.15.21.144 - - [11/Apr/2022:05:40:42 +0000] "GET /users/auth/google/callback?code=4%2F0AX4XfWh5GDcsRlTDwpwDAK0G8OmHJFyJ3vavMwvTAnqwUt76vimQZvUu5FmgmpdTjKsCqg&scope=email+profile+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.profile+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.email+openid&authuser=0&prompt=consent HTTP/1.1" 302 46 "-" "Mozilla/5.0 (Linux; Android 8.1.0; CPH1909) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.93 Mobile Safari/537.36"
::ffff:47.15.21.144 - - [11/Apr/2022:05:40:43 +0000] "GET / HTTP/1.1" 200 221213 "-" "Mozilla/5.0 (Linux; Android 8.1.0; CPH1909) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.93 Mobile Safari/537.36"
::ffff:47.15.21.144 - - [11/Apr/2022:05:40:58 +0000] "GET / HTTP/1.1" 304 - "-" "Mozilla/5.0 (Linux; Android 8.1.0; CPH1909) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.93 Mobile Safari/537.36"
::ffff:47.15.21.144 - - [11/Apr/2022:05:41:09 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "http://50.19.145.241.nip.io:8000/" "Mozilla/5.0 (Linux; Android 8.1.0; CPH1909) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.93 Mobile Safari/537.36"
::ffff:47.15.21.144 - - [11/Apr/2022:05:42:19 +0000] "GET /likes/toggle/?likeableId=62335d7f4e092f5d78993b26&type=Post&reaction=namaste HTTP/1.1" 200 110 "http://50.19.145.241.nip.io:8000/" "Mozilla/5.0 (Linux; Android 8.1.0; CPH1909) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.93 Mobile Safari/537.36"
::ffff:47.15.21.144 - - [11/Apr/2022:05:42:33 +0000] "GET /users/findFriends HTTP/1.1" 200 46773 "http://50.19.145.241.nip.io:8000/" "Mozilla/5.0 (Linux; Android 8.1.0; CPH1909) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.93 Mobile Safari/537.36"
::ffff:47.15.21.144 - - [11/Apr/2022:06:45:17 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "http://namastebuddies.in:8000/users/signin" "Mozilla/5.0 (Linux; Android 8.1.0; CPH1909) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.93 Mobile Safari/537.36"
