::ffff:43.135.123.64 - - [03/Aug/2022:00:02:24 +0000] "GET / HTTP/1.1" 302 35 "-" "'Mozilla/5.0"
::ffff:162.142.125.221 - - [03/Aug/2022:01:41:09 +0000] "GET / HTTP/1.1" 302 35 "-" "-"
::ffff:162.142.125.221 - - [03/Aug/2022:01:41:09 +0000] "GET / HTTP/1.1" 302 35 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
::ffff:162.142.125.221 - - [03/Aug/2022:01:41:09 +0000] "PRI * HTTP/2.0" - - "-" "-"
::ffff:162.142.125.221 - - [03/Aug/2022:01:41:09 +0000] "GET /users/signin HTTP/1.1" 200 2817 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
::ffff:162.142.125.221 - - [03/Aug/2022:01:41:09 +0000] "PRI * HTTP/2.0" - - "-" "-"
::ffff:45.148.10.81 - - [03/Aug/2022:05:19:06 +0000] "GET http://example.com/ HTTP/1.1" 302 35 "-" "Go-http-client/1.1"
::ffff:45.148.10.81 - - [03/Aug/2022:05:19:06 +0000] "GET http://example.com/users/signin HTTP/1.1" 200 2817 "http://example.com" "Go-http-client/1.1"
::ffff:205.210.31.135 - - [03/Aug/2022:06:30:31 +0000] "GET / HTTP/1.1" 302 35 "-" "Expanse, a Palo Alto Networks company, searches across the global IPv4 space multiple times per day to identify customers&#39; presences on the Internet. If you would like to be excluded from our scans, please send IP addresses/domains to: scaninfo@paloaltonetworks.com"
::ffff:205.210.31.135 - - [03/Aug/2022:06:30:31 +0000] "GET /users/signin HTTP/1.1" 200 2817 "http://50.19.145.241:8000/" "Expanse, a Palo Alto Networks company, searches across the global IPv4 space multiple times per day to identify customers&#39; presences on the Internet. If you would like to be excluded from our scans, please send IP addresses/domains to: scaninfo@paloaltonetworks.com"
::ffff:106.75.24.81 - - [03/Aug/2022:07:17:34 +0000] "GET / HTTP/1.0" 302 35 "-" "-"
::ffff:120.52.152.20 - - [03/Aug/2022:07:17:40 +0000] "GET / HTTP/1.1" 302 70 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"
::ffff:120.52.152.20 - - [03/Aug/2022:07:17:40 +0000] "GET /users/signin HTTP/1.1" 200 2817 "http://50.19.145.241:5000" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"
::ffff:120.52.152.20 - - [03/Aug/2022:07:17:41 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"
::ffff:45.148.10.81 - - [03/Aug/2022:11:38:06 +0000] "GET http://example.com/ HTTP/1.1" 302 35 "-" "Go-http-client/1.1"
::ffff:45.148.10.81 - - [03/Aug/2022:11:38:06 +0000] "GET http://example.com/users/signin HTTP/1.1" 200 2817 "http://example.com" "Go-http-client/1.1"
::ffff:185.23.182.101 - - [03/Aug/2022:12:57:59 +0000] "GET / HTTP/1.1" 302 35 "-" "-"
::ffff:185.23.182.101 - - [03/Aug/2022:12:58:06 +0000] "GET /users/signin HTTP/1.1" 200 2817 "http://50.19.145.241:8000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_0) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.56 Safari/535.11"
::ffff:185.23.182.101 - - [03/Aug/2022:12:58:08 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "-" "Go-http-client/1.1"
::ffff:185.23.182.101 - - [03/Aug/2022:12:58:12 +0000] "GET /robots.txt HTTP/1.1" 404 149 "-" "Go-http-client/1.1"
::ffff:185.23.182.101 - - [03/Aug/2022:12:58:14 +0000] "GET /sitemap.xml HTTP/1.1" 404 150 "-" "Go-http-client/1.1"
::ffff:185.23.182.101 - - [03/Aug/2022:12:59:54 +0000] "GET / HTTP/1.1" 302 35 "-" "-"
