::ffff:43.158.217.137 - - [10/Sep/2022:00:08:05 +0000] "GET / HTTP/1.1" 302 35 "-" "'Mozilla/5.0"
::ffff:80.82.77.139 - - [10/Sep/2022:00:26:12 +0000] "GET / HTTP/1.1" 302 70 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.36"
::ffff:80.82.77.139 - - [10/Sep/2022:00:26:12 +0000] "GET /users/signin HTTP/1.1" 200 2817 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.36"
::ffff:80.82.77.139 - - [10/Sep/2022:00:26:13 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:80.0) Gecko/20100101 Firefox/80.0"
::ffff:205.210.31.21 - - [10/Sep/2022:01:42:57 +0000] "GET / HTTP/1.0" 302 35 "-" "Expanse, a Palo Alto Networks company, searches across the global IPv4 space multiple times per day to identify customers&#39; presences on the Internet. If you would like to be excluded from our scans, please send IP addresses/domains to: scaninfo@paloaltonetworks.com"
::ffff:167.94.146.58 - - [10/Sep/2022:02:50:40 +0000] "GET / HTTP/1.1" 302 35 "-" "-"
::ffff:167.94.146.58 - - [10/Sep/2022:02:50:40 +0000] "GET / HTTP/1.1" 302 35 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
::ffff:167.94.146.58 - - [10/Sep/2022:02:50:40 +0000] "PRI * HTTP/2.0" - - "-" "-"
::ffff:167.94.146.58 - - [10/Sep/2022:02:50:41 +0000] "GET /users/signin HTTP/1.1" 200 2817 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
::ffff:167.94.146.58 - - [10/Sep/2022:02:50:41 +0000] "PRI * HTTP/2.0" - - "-" "-"
::ffff:167.94.146.58 - - [10/Sep/2022:02:50:41 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "-" "Go-http-client/1.1"
::ffff:167.94.138.119 - - [10/Sep/2022:04:53:01 +0000] "GET / HTTP/1.1" 302 35 "-" "-"
::ffff:167.94.138.119 - - [10/Sep/2022:04:53:01 +0000] "GET / HTTP/1.1" 302 35 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
::ffff:167.94.138.119 - - [10/Sep/2022:04:53:01 +0000] "PRI * HTTP/2.0" - - "-" "-"
::ffff:167.94.138.119 - - [10/Sep/2022:04:53:01 +0000] "GET /users/signin HTTP/1.1" 200 2817 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
::ffff:167.94.138.119 - - [10/Sep/2022:04:53:01 +0000] "PRI * HTTP/2.0" - - "-" "-"
::ffff:167.94.138.119 - - [10/Sep/2022:04:53:01 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "-" "Go-http-client/1.1"
::ffff:43.135.86.121 - - [10/Sep/2022:05:41:04 +0000] "GET / HTTP/1.1" 302 35 "-" "'Mozilla/5.0"
::ffff:198.235.24.14 - - [10/Sep/2022:05:45:14 +0000] "GET / HTTP/1.0" 302 35 "-" "Expanse, a Palo Alto Networks company, searches across the global IPv4 space multiple times per day to identify customers&#39; presences on the Internet. If you would like to be excluded from our scans, please send IP addresses/domains to: scaninfo@paloaltonetworks.com"
::ffff:216.218.206.67 - - [10/Sep/2022:07:44:57 +0000] "GET / HTTP/1.1" 302 35 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36"
::ffff:216.218.206.67 - - [10/Sep/2022:07:45:15 +0000] "GET / HTTP/1.1" 302 35 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36"
::ffff:216.218.206.67 - - [10/Sep/2022:07:45:15 +0000] "GET /users/signin HTTP/1.1" 200 2817 "http://50.19.145.241:8000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36"
::ffff:128.1.248.34 - - [10/Sep/2022:11:16:44 +0000] "GET / HTTP/1.1" 302 35 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.117 Safari/537.36"
::ffff:128.1.248.34 - - [10/Sep/2022:11:16:44 +0000] "GET /users/signin HTTP/1.1" 200 2817 "http://50.19.145.241:5000/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.117 Safari/537.36"
