::ffff:103.203.57.20 - - [05/Dec/2022:02:58:42 +0000] "GET / HTTP/1.1" 302 35 "-" "Mozilla/5.0"
::ffff:64.62.197.117 - - [05/Dec/2022:04:40:56 +0000] "GET / HTTP/1.1" 302 35 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36"
::ffff:64.62.197.116 - - [05/Dec/2022:04:41:09 +0000] "GET / HTTP/1.1" 302 35 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:104.0) Gecko/20100101 Firefox/104.0"
::ffff:64.62.197.116 - - [05/Dec/2022:04:41:09 +0000] "GET /users/signin HTTP/1.1" 200 2817 "http://50.19.145.241:8000/" "Mozilla/5.0 (X11; Linux x86_64; rv:104.0) Gecko/20100101 Firefox/104.0"
::ffff:64.62.197.118 - - [05/Dec/2022:04:41:19 +0000] "GET http://api.ipify.org/?format=json HTTP/1.1" 302 35 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:104.0) Gecko/20100101 Firefox/104.0"
::ffff:157.245.224.6 - - [05/Dec/2022:05:57:10 +0000] "GET / HTTP/1.0" 302 35 "-" "-"
::ffff:60.217.75.70 - - [05/Dec/2022:07:17:01 +0000] "GET / HTTP/1.1" 302 35 "-" "Mozilla/5.0"
::ffff:89.248.172.16 - - [05/Dec/2022:08:16:36 +0000] "GET / HTTP/1.1" 302 70 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.36"
::ffff:89.248.172.16 - - [05/Dec/2022:08:16:37 +0000] "GET /users/signin HTTP/1.1" 200 2817 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.36"
::ffff:89.248.172.16 - - [05/Dec/2022:08:16:38 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:80.0) Gecko/20100101 Firefox/80.0"
::ffff:167.248.133.117 - - [05/Dec/2022:09:21:19 +0000] "GET / HTTP/1.1" 302 35 "-" "-"
::ffff:167.248.133.117 - - [05/Dec/2022:09:21:19 +0000] "GET / HTTP/1.1" 302 35 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
::ffff:167.248.133.117 - - [05/Dec/2022:09:21:19 +0000] "PRI * HTTP/2.0" - - "-" "-"
::ffff:167.248.133.117 - - [05/Dec/2022:09:21:19 +0000] "GET /users/signin HTTP/1.1" 200 2817 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
::ffff:167.248.133.117 - - [05/Dec/2022:09:21:19 +0000] "PRI * HTTP/2.0" - - "-" "-"
::ffff:167.248.133.117 - - [05/Dec/2022:09:21:19 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
::ffff:66.240.236.119 - - [05/Dec/2022:11:07:40 +0000] "GET / HTTP/1.1" 302 70 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.36"
::ffff:66.240.236.119 - - [05/Dec/2022:11:07:53 +0000] "GET /users/signin HTTP/1.1" 200 2817 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.36"
::ffff:66.240.236.119 - - [05/Dec/2022:11:07:53 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:80.0) Gecko/20100101 Firefox/80.0"
